iter	Passed	Remaining
413	3314	4691
414	3322	4683
415	3330	4675
416	3337	4666
417	3345	4658
418	3353	4650
419	3362	4643
420	3369	4633
421	3379	4628
422	3388	4622
423	3396	4613
424	3405	4607
425	3412	4598
426	3422	4592
427	3429	4583
428	3439	4577
429	3448	4571
430	3457	4564
431	3466	4557
432	3480	4557
433	3489	4550
434	3496	4541
435	3506	4535
436	3516	4530
437	3525	4524
438	3534	4517
439	3544	4510
440	3553	4504
441	3562	4496
442	3569	4487
443	3578	4481
444	3587	4474
445	3594	4464
446	3602	4457
447	3609	4447
448	3617	4439
449	3625	4431
450	3631	4420
451	3639	4412
452	3645	4402
453	3653	4393
454	3662	4386
455	3672	4380
456	3679	4371
457	3689	4365
458	3699	4360
459	3709	4354
460	3718	4347
461	3725	4337
462	3734	4331
463	3743	4324
464	3750	4314
465	3760	4309
466	3769	4302
467	3778	4294
468	3786	4286
469	3795	4279
470	3804	4272
471	3812	4265
472	3823	4260
473	3833	4253
474	3843	4247
475	3852	4240
476	3862	4234
477	3870	4226
478	3878	4219
479	3888	4212
480	3897	4205
481	3905	4197
482	3914	4189
483	3923	4182
484	3931	4175
485	3940	4167
486	3948	4159
487	3957	4152
488	3966	4144
489	3975	4137
490	3984	4130
491	3992	4122
492	4001	4114
493	4010	4107
494	4021	4102
495	4030	4095
496	4040	4089
497	4051	4084
498	4060	4077
499	4069	4069
500	4080	4064
501	4087	4054
502	4096	4047
503	4104	4039
504	4114	4033
505	4122	4024
506	4131	4017
507	4139	4009
508	4148	4002
509	4157	3994
510	4167	3987
511	4175	3980
512	4185	3973
513	4194	3965
514	4203	3958
515	4213	3952
516	4222	3944
517	4231	3937
518	4242	3932
519	4252	3925
520	4260	3917
521	4269	3909
522	4277	3901
523	4285	3893
524	4294	3885
525	4302	3877
526	4310	3868
527	4318	3860
528	4327	3852
529	4334	3843
530	4342	3835
531	4351	3828
532	4361	3821
533	4371	3814
534	4381	3807
535	4387	3798
536	4398	3792
537	4407	3785
538	4416	3777
539	4425	3770
540	4433	3761
541	4442	3753
542	4448	3744
543	4457	3736
544	4467	3729
545	4475	3721
546	4484	3713
547	4494	3707
548	4504	3700
549	4513	3692
550	4520	3684
551	4529	3676
552	4538	3668
553	4545	3659
554	4555	3652
555	4561	3642
556	4570	3634
557	4578	3626
558	4584	3616
559	4592	3608
560	4601	3600
561	4609	3592
562	4618	3584
563	4626	3576
564	4635	3569
565	4643	3560
566	4651	3552
567	4659	3544
568	4668	3536
569	4677	3528
570	4686	3520
571	4694	3512
572	4703	3504
573	4715	3499
574	4723	3490
575	4732	3483
576	4741	3475
577	4750	3468
