iter	Logloss
0	0.684146485
1	0.6756857057
2	0.6685058696
3	0.6615460718
4	0.6549466939
5	0.6490381501
6	0.6435436418
7	0.6383308355
8	0.6336709992
9	0.6287822361
10	0.6245729374
11	0.6205873294
12	0.6166561474
13	0.6129317502
14	0.609724674
15	0.6067178344
16	0.603967912
17	0.6012674512
18	0.5988261281
19	0.5963000094
20	0.5936965293
21	0.5916840746
22	0.5896228959
23	0.587471414
24	0.5855658589
25	0.5840573375
26	0.5825210467
27	0.581017116
28	0.579720307
29	0.5783893425
30	0.5771462973
31	0.5756658609
32	0.5743430543
33	0.5732631752
34	0.5723369903
35	0.5712483509
36	0.5699978929
37	0.569217808
38	0.5682810313
39	0.5674726696
40	0.5666144424
41	0.5660218964
42	0.5655202258
43	0.5649258504
44	0.5643245708
45	0.5634592567
46	0.5627551677
47	0.5621841654
48	0.5617705426
49	0.5609143672
50	0.5605512746
51	0.5599178325
52	0.5594306382
53	0.5586246651
54	0.5580478274
55	0.5575472335
56	0.5572320222
57	0.5568436254
58	0.5563304275
59	0.5559118412
60	0.5554847465
61	0.5551960673
62	0.5546151109
63	0.5543118659
64	0.5540341817
65	0.5537239413
66	0.5531605362
67	0.5529112154
68	0.552450223
69	0.5521342487
70	0.5518049773
71	0.5514954634
72	0.5512555491
73	0.5510282242
74	0.5506804823
75	0.5501631066
76	0.5496715895
77	0.5494877924
78	0.5493337315
79	0.5489230185
80	0.5487579376
81	0.5485174446
82	0.5479617741
83	0.5477815083
84	0.5475698854
85	0.5474513552
86	0.5471962135
87	0.546989832
88	0.5467594434
89	0.5465900754
90	0.5464399647
91	0.5462972737
92	0.5458928938
93	0.5457719931
94	0.5456239784
95	0.5454467775
96	0.5453342552
97	0.5450762535
98	0.5447674538
99	0.5445117948
100	0.5443271383
101	0.544225459
102	0.5441097448
103	0.5439069427
104	0.5436621558
105	0.543384295
106	0.5432579562
107	0.5429729904
108	0.5428391119
109	0.5426918899
110	0.5426103372
111	0.5424565392
112	0.5423424174
113	0.5422500136
114	0.542184289
115	0.5419836572
116	0.5418259111
117	0.5417638546
118	0.5416334799
119	0.5415657048
120	0.5414890365
121	0.541401725
122	0.5411677659
123	0.5410579212
124	0.5408951163
125	0.540836235
126	0.5407206094
127	0.5406203113
128	0.540519597
129	0.5403295977
130	0.5402235097
131	0.5400664386
132	0.5399741965
133	0.5398610433
134	0.5397591493
135	0.5396476295
136	0.5395282053
137	0.5393793203
138	0.5392684591
139	0.5391631107
140	0.5390760402
141	0.5389740803
142	0.5388207377
143	0.5386668549
144	0.5385729195
145	0.5385024563
146	0.5384148238
147	0.5383267183
148	0.5382405577
149	0.5381055841
150	0.5379883133
151	0.5378063514
152	0.537720709
153	0.53767505
154	0.5376050767
155	0.5375253127
156	0.5374526539
157	0.5373912077
158	0.537323638
159	0.5372726125
160	0.5371598276
161	0.5371223396
162	0.5370540045
163	0.5369963595
164	0.5368672614
165	0.5368192382
166	0.5367830974
167	0.536735898
168	0.5366903516
169	0.5365827022
170	0.536531627
171	0.5364957498
172	0.5364254517
173	0.5363230411
174	0.5363003541
175	0.5362163597
176	0.5361738649
177	0.5360743836
178	0.5360161765
179	0.5359242007
180	0.5358796914
181	0.5358061105
182	0.5357460535
183	0.5356971826
184	0.535646173
185	0.5355937752
186	0.535509421
187	0.5354674825
188	0.5353931121
189	0.5353200334
190	0.535280328
191	0.5352486566
192	0.5352025805
193	0.5350754885
194	0.5350112691
195	0.534928861
196	0.5349190128
197	0.534860542
198	0.5348179012
199	0.5347567676
200	0.5346933438
201	0.5346236213
202	0.5345880659
203	0.5345188271
204	0.5344549719
205	0.5343760415
206	0.534360098
207	0.534294427
208	0.5342439474
209	0.5342112209
210	0.534149504
211	0.5340989116
212	0.5340194985
213	0.5339936087
214	0.5339723527
215	0.5339268194
216	0.5338901921
217	0.5338444879
218	0.5337820515
219	0.5337568655
220	0.5337041379
221	0.5336076694
222	0.5335567274
223	0.5334803727
224	0.5334309941
225	0.5333797111
226	0.5333211682
227	0.5332479707
228	0.5331763212
229	0.5331314548
230	0.5330379374
231	0.5329914857
232	0.5328888684
233	0.5327785234
234	0.5327450829
235	0.5327049278
236	0.5326368479
237	0.5326144206
238	0.5325532576
239	0.5324455599
240	0.5323873921
241	0.5323402998
242	0.5322763992
243	0.5322116619
244	0.5321706216
245	0.5321305799
246	0.5320269269
247	0.5319722878
248	0.5319335787
249	0.5318516557
250	0.531806135
251	0.5317621585
252	0.5317150309
253	0.5316351451
254	0.5315712176
255	0.5315320296
256	0.5314896447
257	0.5314232875
258	0.5313778044
259	0.5313239284
260	0.5312760277
261	0.5312171443
262	0.5311890312
263	0.531142698
264	0.5310574251
265	0.5310159726
266	0.5309384957
267	0.5309004487
268	0.530855219
269	0.5307716837
270	0.5306970629
271	0.530669289
272	0.5306373419
273	0.5305743912
274	0.5305080166
275	0.5304744316
276	0.5304238098
277	0.5303914094
278	0.5303200374
279	0.5302807998
280	0.5302425083
281	0.5301960297
282	0.5301411048
283	0.5300939283
284	0.5300036605
285	0.5299265175
286	0.5298371457
287	0.5297830187
288	0.5297393526
289	0.5296980833
290	0.5296510953
291	0.5295988461
292	0.529512977
293	0.5294700626
294	0.5294239878
295	0.5293612864
296	0.5293242009
297	0.5292772503
298	0.5292236523
299	0.5291376096
300	0.5290688257
301	0.52902771
302	0.5289741148
303	0.5289364125
304	0.5288567523
305	0.528799792
306	0.5287417351
307	0.5286947556
308	0.5286604266
309	0.5286319196
310	0.5285961714
311	0.528541461
312	0.5284759957
313	0.5284387479
314	0.5283757756
315	0.5283217639
316	0.5282677194
317	0.5282279215
318	0.5281739274
319	0.5281408081
320	0.5280853373
321	0.5280525996
322	0.5280050776
323	0.5279679305
324	0.527913887
325	0.5278636718
326	0.5277971425
327	0.5277547425
328	0.5277021364
329	0.5276482946
330	0.5276116276
331	0.5275705584
332	0.5275132184
333	0.5274776329
334	0.5274193879
335	0.5273799888
336	0.5273341781
337	0.52730696
338	0.5272615223
339	0.5272299864
340	0.5271854824
341	0.5271304415
342	0.5270745601
343	0.5270170245
344	0.5269602336
345	0.5269177829
346	0.5268841956
347	0.5268353106
348	0.5267747585
349	0.5267273455
350	0.5266821826
351	0.5266334152
352	0.5265983167
353	0.5265536467
354	0.5264932629
355	0.5264482469
356	0.5263985175
357	0.5263496201
358	0.5262957949
359	0.526256285
360	0.5262065632
361	0.5261600153
362	0.5261139513
363	0.5260712408
364	0.5260204036
365	0.5259791263
366	0.5259324653
367	0.5258921272
368	0.5258426068
369	0.5258021664
370	0.5257486995
371	0.5257108131
372	0.5256781715
373	0.5256272312
374	0.5255833736
375	0.5255584444
376	0.525528106
377	0.5254975276
378	0.5254598753
379	0.525429264
380	0.5253923786
381	0.5253492249
382	0.5253239719
383	0.5252891212
384	0.5252475204
385	0.5252207305
386	0.5251701674
387	0.5251399434
388	0.5251098571
389	0.5250652804
390	0.5250284021
391	0.524984474
392	0.5249531308
393	0.5249082863
394	0.5248740139
395	0.5248468842
396	0.5247938089
397	0.524760128
398	0.5247234009
399	0.5246861278
400	0.5246504783
401	0.5246209324
402	0.5245964445
403	0.5245573589
404	0.5245220346
405	0.5244845813
406	0.5244356609
407	0.52438242
408	0.5243448109
409	0.524310439
410	0.5242894489
411	0.5242384902
412	0.5242013731
413	0.5241650225
414	0.5241346764
415	0.5240921617
416	0.5240455399
417	0.5240155422
418	0.5239775858
419	0.5239348995
420	0.5238932038
421	0.5238583061
422	0.5238269715
423	0.5237953496
424	0.5237629334
425	0.5237216641
426	0.5236972224
427	0.5236570533
428	0.5236263311
429	0.523590469
430	0.5235529885
431	0.5235093457
432	0.5234856317
433	0.5234456341
434	0.5234069675
435	0.5233819178
436	0.5233577362
437	0.5233135483
438	0.5232522476
439	0.5232037131
440	0.5231759346
441	0.5231437834
442	0.523111237
443	0.523057011
444	0.5230090761
445	0.5229761964
446	0.5229415969
447	0.5229071381
448	0.5228735857
449	0.5228381047
